Competition,Matchday,Date,Home Team,Away Team,Attendance,Result,Winner
LaLiga,25,"Sat, 03/03/2001",Real Madrid,FC Barcelona,74.000,2:2,Draw
LaLiga,6,"Sat, 21/10/2000",FC Barcelona,Real Madrid,100.000,2:0,FC Barcelona
LaLiga,26,"Sat, 26/02/2000",Real Madrid,FC Barcelona,80.000,3:0,Real Madrid
LaLiga,7,"Wed, 13/10/1999",FC Barcelona,Real Madrid,,2:2,Draw
LaLiga,22,"Sun, 14/02/1999",FC Barcelona,Real Madrid,,3:0,FC Barcelona
LaLiga,3,"Sat, 19/09/1998",Real Madrid,FC Barcelona,85.000,2:2,Draw
LaLiga,28,"Sat, 07/03/1998",FC Barcelona,Real Madrid,,3:0,FC Barcelona
LaLiga,9,"Sat, 01/11/1997",Real Madrid,FC Barcelona,104.000,2:3,FC Barcelona
Supercopa,Final,"Sat, 23/08/1997",Real Madrid,FC Barcelona,60.000,4:1,Real Madrid
Supercopa,Final,"Wed, 20/08/1997",FC Barcelona,Real Madrid,85.000,2:1,FC Barcelona
LaLiga,37,"Sat, 10/05/1997",FC Barcelona,Real Madrid,115.000,1:0,FC Barcelona
Copa del Rey,Round of 16,"Thu, 06/02/1997",Real Madrid,FC Barcelona,110.000,1:1,Draw
Copa del Rey,Round of 16,"Thu, 30/01/1997",FC Barcelona,Real Madrid,105.000,3:2,FC Barcelona
LaLiga,16,"Sat, 07/12/1996",Real Madrid,FC Barcelona,,2:0,Real Madrid
LaLiga,26,"Sat, 10/02/1996",FC Barcelona,Real Madrid,,3:0,FC Barcelona
LaLiga,5,"Sat, 30/09/1995",Real Madrid,FC Barcelona,,1:1,Draw
LaLiga,35,"Sat, 27/05/1995",FC Barcelona,Real Madrid,,1:0,FC Barcelona
LaLiga,16,"Sat, 07/01/1995",Real Madrid,FC Barcelona,,5:0,Real Madrid
LaLiga,37,"Sat, 07/05/1994",Real Madrid,FC Barcelona,,0:1,FC Barcelona
LaLiga,18,"Sun, 09/01/1994",FC Barcelona,Real Madrid,,5:0,FC Barcelona
Supercopa,Final,"Thu, 16/12/1993",FC Barcelona,Real Madrid,,1:1,Draw
Supercopa,Final,"Thu, 02/12/1993",Real Madrid,FC Barcelona,,3:1,Real Madrid
Copa del Rey,Semi-Finals,"Wed, 16/06/1993",FC Barcelona,Real Madrid,,1:2,Real Madrid
Copa del Rey,Semi-Finals,"Wed, 09/06/1993",Real Madrid,FC Barcelona,,1:1,Draw
LaLiga,20,"Sat, 30/01/1993",Real Madrid,FC Barcelona,,2:1,Real Madrid
LaLiga,1,"Sat, 05/09/1992",FC Barcelona,Real Madrid,97.500,2:1,FC Barcelona
LaLiga,25,"Sat, 07/03/1992",FC Barcelona,Real Madrid,,1:1,Draw
LaLiga,6,"Fri, 18/10/1991",Real Madrid,FC Barcelona,,1:1,Draw
LaLiga,38,"Sat, 08/06/1991",Real Madrid,FC Barcelona,90.000,1:0,Real Madrid
LaLiga,19,"Sat, 19/01/1991",FC Barcelona,Real Madrid,,2:1,FC Barcelona
Supercopa,Final,"Wed, 12/12/1990",Real Madrid,FC Barcelona,,4:1,Real Madrid
Supercopa,Final,"Wed, 05/12/1990",FC Barcelona,Real Madrid,,0:1,Real Madrid
Copa del Rey,Final,"Thu, 05/04/1990",FC Barcelona,Real Madrid,,2:0,FC Barcelona
LaLiga,25,"Thu, 15/02/1990",Real Madrid,FC Barcelona,,3:2,Real Madrid
LaLiga,6,"Sat, 07/10/1989",FC Barcelona,Real Madrid,,3:1,FC Barcelona
LaLiga,27,"Sat, 01/04/1989",FC Barcelona,Real Madrid,,0:0,Draw
LaLiga,8,"Sat, 22/10/1988",Real Madrid,FC Barcelona,,3:2,Real Madrid
Supercopa,Final,"Thu, 29/09/1988",FC Barcelona,Real Madrid,,2:1,FC Barcelona
Supercopa,Final,"Wed, 21/09/1988",Real Madrid,FC Barcelona,,2:0,Real Madrid
LaLiga,35,"Sat, 30/04/1988",FC Barcelona,Real Madrid,,2:0,FC Barcelona
LaLiga,16,"Sat, 02/01/1988",Real Madrid,FC Barcelona,,2:1,Real Madrid
LaLiga,40,"Sat, 23/05/1987",FC Barcelona,Real Madrid,,2:1,FC Barcelona
LaLiga,35,"Sun, 12/04/1987",Real Madrid,FC Barcelona,,0:0,Draw
LaLiga,25,"Sat, 31/01/1987",FC Barcelona,Real Madrid,,3:2,FC Barcelona
LaLiga,8,"Wed, 08/10/1986",Real Madrid,FC Barcelona,,1:1,Draw
Copa de la Liga (bis 1986),Second Round,"Sun, 18/05/1986",Real Madrid,FC Barcelona,,0:4,FC Barcelona
Copa de la Liga (bis 1986),Second Round,"Sun, 11/05/1986",FC Barcelona,Real Madrid,,2:2,Draw
LaLiga,28,"Sat, 08/03/1986",Real Madrid,FC Barcelona,,3:1,Real Madrid
LaLiga,11,"Sat, 09/11/1985",FC Barcelona,Real Madrid,100.000,2:0,FC Barcelona
Copa de la Liga (bis 1986),Quarter-Finals,"Sat, 18/05/1985",Real Madrid,FC Barcelona,,4:1on pens,Real Madrid
Copa de la Liga (bis 1986),Quarter-Finals,"Sat, 11/05/1985",FC Barcelona,Real Madrid,,2:2,Draw
LaLiga,18,"Sun, 30/12/1984",FC Barcelona,Real Madrid,,3:2,FC Barcelona
LaLiga,1,"Sun, 02/09/1984",Real Madrid,FC Barcelona,,0:3,FC Barcelona
LaLiga,25,"Sat, 25/02/1984",Real Madrid,FC Barcelona,,2:1,Real Madrid
LaLiga,8,"Sat, 22/10/1983",FC Barcelona,Real Madrid,,1:2,Real Madrid
Copa de la Liga (bis 1986),Final,"Wed, 29/06/1983",FC Barcelona,Real Madrid,,2:1,FC Barcelona
Copa de la Liga (bis 1986),Final,"Sun, 26/06/1983",Real Madrid,FC Barcelona,,2:2,Draw
Copa del Rey,Final,"Sat, 04/06/1983",FC Barcelona,Real Madrid,,2:1,FC Barcelona
LaLiga,30,"Sat, 26/03/1983",FC Barcelona,Real Madrid,,2:1,FC Barcelona
LaLiga,13,"Sat, 27/11/1982",Real Madrid,FC Barcelona,,0:2,FC Barcelona
LaLiga,33,"Sun, 18/04/1982",Real Madrid,FC Barcelona,,3:1,Real Madrid
LaLiga,16,"Sun, 20/12/1981",FC Barcelona,Real Madrid,,3:1,FC Barcelona
LaLiga,30,"Sun, 29/03/1981",Real Madrid,FC Barcelona,,3:0,Real Madrid
LaLiga,13,"Sun, 30/11/1980",FC Barcelona,Real Madrid,,2:1,FC Barcelona
LaLiga,20,"Sun, 10/02/1980",FC Barcelona,Real Madrid,,0:2,Real Madrid
LaLiga,3,"Sun, 23/09/1979",Real Madrid,FC Barcelona,,3:2,Real Madrid
LaLiga,21,"Sat, 17/02/1979",FC Barcelona,Real Madrid,,2:0,FC Barcelona
LaLiga,4,"Sat, 23/09/1978",Real Madrid,FC Barcelona,,3:1,Real Madrid
LaLiga,29,"Wed, 05/04/1978",Real Madrid,FC Barcelona,,4:0,Real Madrid
LaLiga,12,"Sun, 04/12/1977",FC Barcelona,Real Madrid,,2:3,Real Madrid
LaLiga,20,"Sun, 30/01/1977",Real Madrid,FC Barcelona,,1:1,Draw
LaLiga,3,"Sun, 19/09/1976",FC Barcelona,Real Madrid,100.000,3:1,FC Barcelona
LaLiga,32,"Fri, 30/04/1976",Real Madrid,FC Barcelona,,0:2,FC Barcelona
LaLiga,15,"Sun, 28/12/1975",FC Barcelona,Real Madrid,,2:1,FC Barcelona
LaLiga,32,"Sun, 11/05/1975",FC Barcelona,Real Madrid,,0:0,Draw
LaLiga,15,"Sun, 05/01/1975",Real Madrid,FC Barcelona,,1:0,Real Madrid
Copa del Rey,Final,"Sat, 29/06/1974",Real Madrid,FC Barcelona,,4:0,Real Madrid
LaLiga,22,"Sun, 17/02/1974",Real Madrid,FC Barcelona,,0:5,FC Barcelona
LaLiga,6,"Sun, 07/10/1973",FC Barcelona,Real Madrid,,0:0,Draw
LaLiga,22,"Sun, 25/02/1973",Real Madrid,CF Barcelona,,0:0,Draw
LaLiga,5,"Sun, 01/10/1972",CF Barcelona,Real Madrid,,1:0,FC Barcelona
LaLiga,28,"Mon, 03/04/1972",CF Barcelona,Real Madrid,,1:0,FC Barcelona
LaLiga,11,"Sun, 28/11/1971",Real Madrid,CF Barcelona,,1:1,Draw
LaLiga,22,"Sun, 14/02/1971",CF Barcelona,Real Madrid,,0:1,Real Madrid
LaLiga,7,"Sun, 25/10/1970",Real Madrid,CF Barcelona,,0:1,FC Barcelona
Copa del Rey,Quarter-Finals,"Sat, 06/06/1970",CF Barcelona,Real Madrid,,1:1,Draw
Copa del Rey,Quarter-Finals,"Sat, 30/05/1970",Real Madrid,CF Barcelona,,2:0,Real Madrid
LaLiga,16,"Sun, 28/12/1969",CF Barcelona,Real Madrid,,1:0,FC Barcelona
LaLiga,1,"Sun, 14/09/1969",Real Madrid,CF Barcelona,,3:3,Draw
LaLiga,24,"Sun, 09/03/1969",CF Barcelona,Real Madrid,,1:1,Draw
LaLiga,9,"Sat, 16/11/1968",Real Madrid,CF Barcelona,,2:1,Real Madrid
Copa del Rey,Final,"Thu, 11/07/1968",CF Barcelona,Real Madrid,,1:0,FC Barcelona
LaLiga,27,"Tue, 09/04/1968",CF Barcelona,Real Madrid,,1:1,Draw
LaLiga,12,"Sun, 10/12/1967",Real Madrid,CF Barcelona,,1:1,Draw
LaLiga,25,"Sun, 19/03/1967",CF Barcelona,Real Madrid,,2:1,FC Barcelona
LaLiga,10,"Sun, 20/11/1966",Real Madrid,CF Barcelona,,1:0,Real Madrid
LaLiga,29,"Sun, 27/03/1966",CF Barcelona,Real Madrid,,2:1,FC Barcelona
LaLiga,14,"Sun, 19/12/1965",Real Madrid,CF Barcelona,,1:3,FC Barcelona
LaLiga,24,"Sun, 28/02/1965",CF Barcelona,Real Madrid,,1:2,Real Madrid
LaLiga,9,"Sun, 08/11/1964",Real Madrid,CF Barcelona,,4:1,Real Madrid
LaLiga,27,"Mon, 30/03/1964",CF Barcelona,Real Madrid,,1:2,Real Madrid
LaLiga,12,"Sun, 15/12/1963",Real Madrid,CF Barcelona,,4:0,Real Madrid
LaLiga,18,"Sun, 27/01/1963",CF Barcelona,Real Madrid,,1:5,Real Madrid
LaLiga,3,"Sun, 30/09/1962",Real Madrid,CF Barcelona,,2:0,Real Madrid
Copa del Rey,Quarter-Finals,"Sun, 22/04/1962",CF Barcelona,Real Madrid,,1:3,Real Madrid
Copa del Rey,Quarter-Finals,"Sun, 15/04/1962",Real Madrid,CF Barcelona,,0:1,FC Barcelona
LaLiga,20,"Sun, 21/01/1962",CF Barcelona,Real Madrid,,3:1,FC Barcelona
LaLiga,5,"Sat, 30/09/1961",Real Madrid,CF Barcelona,,2:0,Real Madrid
LaLiga,27,"Sun, 26/03/1961",Real Madrid,CF Barcelona,,3:2,Real Madrid
LaLiga,12,"Sun, 04/12/1960",CF Barcelona,Real Madrid,,3:5,Real Madrid
Europapokal der Landesmeister,Round of 16,"Fri, 25/11/1960",CF Barcelona,Real Madrid,90.000,2:1,FC Barcelona
Europapokal der Landesmeister,Round of 16,"Wed, 09/11/1960",Real Madrid,CF Barcelona,84.358,2:2,Draw
Europapokal der Landesmeister,Semi-Finals,"Wed, 27/04/1960",CF Barcelona,Real Madrid,80.000,1:3,Real Madrid
Europapokal der Landesmeister,Semi-Finals,"Thu, 21/04/1960",Real Madrid,CF Barcelona,120.000,3:1,Real Madrid
LaLiga,26,"Sun, 20/03/1960",CF Barcelona,Real Madrid,,3:1,FC Barcelona
LaLiga,11,"Sun, 29/11/1959",Real Madrid,CF Barcelona,,2:0,Real Madrid
Copa del Rey,Semi-Finals,"Sun, 14/06/1959",CF Barcelona,Real Madrid,,3:1,FC Barcelona
Copa del Rey,Semi-Finals,"Sun, 07/06/1959",Real Madrid,CF Barcelona,,2:4,FC Barcelona
LaLiga,22,"Sun, 15/02/1959",Real Madrid,CF Barcelona,,1:0,Real Madrid
LaLiga,7,"Sun, 26/10/1958",CF Barcelona,Real Madrid,,4:0,FC Barcelona
LaLiga,20,"Sun, 02/02/1958",CF Barcelona,Real Madrid,,0:2,Real Madrid
LaLiga,5,"Sun, 13/10/1957",Real Madrid,CF Barcelona,,3:0,Real Madrid
Copa del Rey,Quarter-Finals,"Sun, 19/05/1957",CF Barcelona,Real Madrid,,6:1,FC Barcelona
Copa del Rey,Quarter-Finals,"Sun, 12/05/1957",Real Madrid,CF Barcelona,,2:2,Draw
LaLiga,25,"Sun, 03/03/1957",Real Madrid,CF Barcelona,,1:0,Real Madrid
LaLiga,10,"Sun, 11/11/1956",CF Barcelona,Real Madrid,,1:0,FC Barcelona
LaLiga,25,"Sun, 18/03/1956",CF Barcelona,Real Madrid,,2:0,FC Barcelona
LaLiga,10,"Sun, 13/11/1955",Real Madrid,CF Barcelona,,2:1,Real Madrid
LaLiga,26,"Sun, 06/03/1955",CF Barcelona,Real Madrid,,2:2,Draw
LaLiga,11,"Sun, 21/11/1954",Real Madrid,CF Barcelona,,3:0,Real Madrid
Copa del Rey,Semi-Finals,"Sun, 13/06/1954",CF Barcelona,Real Madrid,,3:1,FC Barcelona
Copa del Rey,Semi-Finals,"Sun, 06/06/1954",Real Madrid,CF Barcelona,,1:0,Real Madrid
LaLiga,22,"Sun, 21/02/1954",CF Barcelona,Real Madrid,,5:1,FC Barcelona
LaLiga,7,"Sun, 25/10/1953",Real Madrid,CF Barcelona,,5:0,Real Madrid
LaLiga,26,"Sun, 05/04/1953",CF Barcelona,Real Madrid,,1:0,FC Barcelona
LaLiga,11,"Sun, 23/11/1952",Real Madrid,CF Barcelona,,2:1,Real Madrid
LaLiga,25,"Sun, 02/03/1952",CF Barcelona,Real Madrid,,4:2,FC Barcelona
LaLiga,10,"Sun, 11/11/1951",Real Madrid,CF Barcelona,,5:1,Real Madrid
