Competition,Matchday,Date,Home Team,Away Team,Attendance,Result,Winner,FCB_Goals,RMA_Goals,Total_Goals,Attendance_Clean,Formatted_Date,Year
Copa del Rey,Round of 16,"Thu, 30/01/1997",FC Barcelona,Real Madrid,105.0,3:2,FC Barcelona,3,2,5,1050.0,1997-01-30,1997
LaLiga,16,"Sat, 07/12/1996",Real Madrid,FC Barcelona,,2:0,Real Madrid,0,2,2,0.0,1996-12-07,1996
LaLiga,26,"Sat, 10/02/1996",FC Barcelona,Real Madrid,,3:0,FC Barcelona,3,0,3,0.0,1996-02-10,1996
LaLiga,5,"Sat, 30/09/1995",Real Madrid,FC Barcelona,,1:1,Draw,1,1,2,0.0,1995-09-30,1995
LaLiga,35,"Sat, 27/05/1995",FC Barcelona,Real Madrid,,1:0,FC Barcelona,1,0,1,0.0,1995-05-27,1995
LaLiga,16,"Sat, 07/01/1995",Real Madrid,FC Barcelona,,5:0,Real Madrid,0,5,5,0.0,1995-01-07,1995
LaLiga,37,"Sat, 07/05/1994",Real Madrid,FC Barcelona,,0:1,FC Barcelona,1,0,1,0.0,1994-05-07,1994
LaLiga,18,"Sun, 09/01/1994",FC Barcelona,Real Madrid,,5:0,FC Barcelona,5,0,5,0.0,1994-01-09,1994
Supercopa,Final,"Thu, 16/12/1993",FC Barcelona,Real Madrid,,1:1,Draw,1,1,2,0.0,1993-12-16,1993
Supercopa,Final,"Thu, 02/12/1993",Real Madrid,FC Barcelona,,3:1,Real Madrid,1,3,4,0.0,1993-12-02,1993
Copa del Rey,Semi-Finals,"Wed, 16/06/1993",FC Barcelona,Real Madrid,,1:2,Real Madrid,1,2,3,0.0,1993-06-16,1993
Copa del Rey,Semi-Finals,"Wed, 09/06/1993",Real Madrid,FC Barcelona,,1:1,Draw,1,1,2,0.0,1993-06-09,1993
LaLiga,20,"Sat, 30/01/1993",Real Madrid,FC Barcelona,,2:1,Real Madrid,1,2,3,0.0,1993-01-30,1993
LaLiga,1,"Sat, 05/09/1992",FC Barcelona,Real Madrid,97.5,2:1,FC Barcelona,2,1,3,975.0,1992-09-05,1992
LaLiga,25,"Sat, 07/03/1992",FC Barcelona,Real Madrid,,1:1,Draw,1,1,2,0.0,1992-03-07,1992
LaLiga,6,"Fri, 18/10/1991",Real Madrid,FC Barcelona,,1:1,Draw,1,1,2,0.0,1991-10-18,1991
LaLiga,38,"Sat, 08/06/1991",Real Madrid,FC Barcelona,90.0,1:0,Real Madrid,0,1,1,900.0,1991-06-08,1991
LaLiga,19,"Sat, 19/01/1991",FC Barcelona,Real Madrid,,2:1,FC Barcelona,2,1,3,0.0,1991-01-19,1991
Supercopa,Final,"Wed, 12/12/1990",Real Madrid,FC Barcelona,,4:1,Real Madrid,1,4,5,0.0,1990-12-12,1990
Supercopa,Final,"Wed, 05/12/1990",FC Barcelona,Real Madrid,,0:1,Real Madrid,0,1,1,0.0,1990-12-05,1990
Copa del Rey,Final,"Thu, 05/04/1990",FC Barcelona,Real Madrid,,2:0,FC Barcelona,2,0,2,0.0,1990-04-05,1990
LaLiga,25,"Thu, 15/02/1990",Real Madrid,FC Barcelona,,3:2,Real Madrid,2,3,5,0.0,1990-02-15,1990
LaLiga,6,"Sat, 07/10/1989",FC Barcelona,Real Madrid,,3:1,FC Barcelona,3,1,4,0.0,1989-10-07,1989
LaLiga,27,"Sat, 01/04/1989",FC Barcelona,Real Madrid,,0:0,Draw,0,0,0,0.0,1989-04-01,1989
LaLiga,8,"Sat, 22/10/1988",Real Madrid,FC Barcelona,,3:2,Real Madrid,2,3,5,0.0,1988-10-22,1988
Supercopa,Final,"Thu, 29/09/1988",FC Barcelona,Real Madrid,,2:1,FC Barcelona,2,1,3,0.0,1988-09-29,1988
Supercopa,Final,"Wed, 21/09/1988",Real Madrid,FC Barcelona,,2:0,Real Madrid,0,2,2,0.0,1988-09-21,1988
LaLiga,35,"Sat, 30/04/1988",FC Barcelona,Real Madrid,,2:0,FC Barcelona,2,0,2,0.0,1988-04-30,1988
LaLiga,16,"Sat, 02/01/1988",Real Madrid,FC Barcelona,,2:1,Real Madrid,1,2,3,0.0,1988-01-02,1988
LaLiga,40,"Sat, 23/05/1987",FC Barcelona,Real Madrid,,2:1,FC Barcelona,2,1,3,0.0,1987-05-23,1987
LaLiga,35,"Sun, 12/04/1987",Real Madrid,FC Barcelona,,0:0,Draw,0,0,0,0.0,1987-04-12,1987
LaLiga,25,"Sat, 31/01/1987",FC Barcelona,Real Madrid,,3:2,FC Barcelona,3,2,5,0.0,1987-01-31,1987
LaLiga,8,"Wed, 08/10/1986",Real Madrid,FC Barcelona,,1:1,Draw,1,1,2,0.0,1986-10-08,1986
Copa de la Liga (bis 1986),Second Round,"Sun, 18/05/1986",Real Madrid,FC Barcelona,,0:4,FC Barcelona,4,0,4,0.0,1986-05-18,1986
Copa de la Liga (bis 1986),Second Round,"Sun, 11/05/1986",FC Barcelona,Real Madrid,,2:2,Draw,2,2,4,0.0,1986-05-11,1986
LaLiga,28,"Sat, 08/03/1986",Real Madrid,FC Barcelona,,3:1,Real Madrid,1,3,4,0.0,1986-03-08,1986
LaLiga,11,"Sat, 09/11/1985",FC Barcelona,Real Madrid,100.0,2:0,FC Barcelona,2,0,2,1000.0,1985-11-09,1985
Copa de la Liga (bis 1986),Quarter-Finals,"Sat, 18/05/1985",Real Madrid,FC Barcelona,,4:1on pens,Real Madrid,1,4,5,0.0,1985-05-18,1985
Copa de la Liga (bis 1986),Quarter-Finals,"Sat, 11/05/1985",FC Barcelona,Real Madrid,,2:2,Draw,2,2,4,0.0,1985-05-11,1985
LaLiga,18,"Sun, 30/12/1984",FC Barcelona,Real Madrid,,3:2,FC Barcelona,3,2,5,0.0,1984-12-30,1984
LaLiga,1,"Sun, 02/09/1984",Real Madrid,FC Barcelona,,0:3,FC Barcelona,3,0,3,0.0,1984-09-02,1984
LaLiga,25,"Sat, 25/02/1984",Real Madrid,FC Barcelona,,2:1,Real Madrid,1,2,3,0.0,1984-02-25,1984
LaLiga,8,"Sat, 22/10/1983",FC Barcelona,Real Madrid,,1:2,Real Madrid,1,2,3,0.0,1983-10-22,1983
Copa de la Liga (bis 1986),Final,"Wed, 29/06/1983",FC Barcelona,Real Madrid,,2:1,FC Barcelona,2,1,3,0.0,1983-06-29,1983
Copa de la Liga (bis 1986),Final,"Sun, 26/06/1983",Real Madrid,FC Barcelona,,2:2,Draw,2,2,4,0.0,1983-06-26,1983
Copa del Rey,Final,"Sat, 04/06/1983",FC Barcelona,Real Madrid,,2:1,FC Barcelona,2,1,3,0.0,1983-06-04,1983
LaLiga,30,"Sat, 26/03/1983",FC Barcelona,Real Madrid,,2:1,FC Barcelona,2,1,3,0.0,1983-03-26,1983
LaLiga,13,"Sat, 27/11/1982",Real Madrid,FC Barcelona,,0:2,FC Barcelona,2,0,2,0.0,1982-11-27,1982
LaLiga,33,"Sun, 18/04/1982",Real Madrid,FC Barcelona,,3:1,Real Madrid,1,3,4,0.0,1982-04-18,1982
LaLiga,16,"Sun, 20/12/1981",FC Barcelona,Real Madrid,,3:1,FC Barcelona,3,1,4,0.0,1981-12-20,1981
LaLiga,30,"Sun, 29/03/1981",Real Madrid,FC Barcelona,,3:0,Real Madrid,0,3,3,0.0,1981-03-29,1981
LaLiga,13,"Sun, 30/11/1980",FC Barcelona,Real Madrid,,2:1,FC Barcelona,2,1,3,0.0,1980-11-30,1980
LaLiga,20,"Sun, 10/02/1980",FC Barcelona,Real Madrid,,0:2,Real Madrid,0,2,2,0.0,1980-02-10,1980
LaLiga,3,"Sun, 23/09/1979",Real Madrid,FC Barcelona,,3:2,Real Madrid,2,3,5,0.0,1979-09-23,1979
LaLiga,21,"Sat, 17/02/1979",FC Barcelona,Real Madrid,,2:0,FC Barcelona,2,0,2,0.0,1979-02-17,1979
LaLiga,4,"Sat, 23/09/1978",Real Madrid,FC Barcelona,,3:1,Real Madrid,1,3,4,0.0,1978-09-23,1978
LaLiga,29,"Wed, 05/04/1978",Real Madrid,FC Barcelona,,4:0,Real Madrid,0,4,4,0.0,1978-04-05,1978
LaLiga,12,"Sun, 04/12/1977",FC Barcelona,Real Madrid,,2:3,Real Madrid,2,3,5,0.0,1977-12-04,1977
LaLiga,20,"Sun, 30/01/1977",Real Madrid,FC Barcelona,,1:1,Draw,1,1,2,0.0,1977-01-30,1977
LaLiga,3,"Sun, 19/09/1976",FC Barcelona,Real Madrid,100.0,3:1,FC Barcelona,3,1,4,1000.0,1976-09-19,1976
LaLiga,32,"Fri, 30/04/1976",Real Madrid,FC Barcelona,,0:2,FC Barcelona,2,0,2,0.0,1976-04-30,1976
LaLiga,15,"Sun, 28/12/1975",FC Barcelona,Real Madrid,,2:1,FC Barcelona,2,1,3,0.0,1975-12-28,1975
LaLiga,32,"Sun, 11/05/1975",FC Barcelona,Real Madrid,,0:0,Draw,0,0,0,0.0,1975-05-11,1975
LaLiga,15,"Sun, 05/01/1975",Real Madrid,FC Barcelona,,1:0,Real Madrid,0,1,1,0.0,1975-01-05,1975
Copa del Rey,Final,"Sat, 29/06/1974",Real Madrid,FC Barcelona,,4:0,Real Madrid,0,4,4,0.0,1974-06-29,1974
LaLiga,22,"Sun, 17/02/1974",Real Madrid,FC Barcelona,,0:5,FC Barcelona,5,0,5,0.0,1974-02-17,1974
LaLiga,6,"Sun, 07/10/1973",FC Barcelona,Real Madrid,,0:0,Draw,0,0,0,0.0,1973-10-07,1973
LaLiga,22,"Sun, 25/02/1973",Real Madrid,CF Barcelona,,0:0,Draw,0,0,0,0.0,1973-02-25,1973
LaLiga,5,"Sun, 01/10/1972",CF Barcelona,Real Madrid,,1:0,FC Barcelona,1,0,1,0.0,1972-10-01,1972
LaLiga,28,"Mon, 03/04/1972",CF Barcelona,Real Madrid,,1:0,FC Barcelona,1,0,1,0.0,1972-04-03,1972
LaLiga,11,"Sun, 28/11/1971",Real Madrid,CF Barcelona,,1:1,Draw,1,1,2,0.0,1971-11-28,1971
LaLiga,22,"Sun, 14/02/1971",CF Barcelona,Real Madrid,,0:1,Real Madrid,0,1,1,0.0,1971-02-14,1971
LaLiga,7,"Sun, 25/10/1970",Real Madrid,CF Barcelona,,0:1,FC Barcelona,1,0,1,0.0,1970-10-25,1970
Copa del Rey,Quarter-Finals,"Sat, 06/06/1970",CF Barcelona,Real Madrid,,1:1,Draw,1,1,2,0.0,1970-06-06,1970
Copa del Rey,Quarter-Finals,"Sat, 30/05/1970",Real Madrid,CF Barcelona,,2:0,Real Madrid,0,2,2,0.0,1970-05-30,1970
LaLiga,16,"Sun, 28/12/1969",CF Barcelona,Real Madrid,,1:0,FC Barcelona,1,0,1,0.0,1969-12-28,1969
LaLiga,1,"Sun, 14/09/1969",Real Madrid,CF Barcelona,,3:3,Draw,3,3,6,0.0,1969-09-14,1969
LaLiga,24,"Sun, 09/03/1969",CF Barcelona,Real Madrid,,1:1,Draw,1,1,2,0.0,1969-03-09,1969
LaLiga,9,"Sat, 16/11/1968",Real Madrid,CF Barcelona,,2:1,Real Madrid,1,2,3,0.0,1968-11-16,1968
Copa del Rey,Final,"Thu, 11/07/1968",CF Barcelona,Real Madrid,,1:0,FC Barcelona,1,0,1,0.0,1968-07-11,1968
LaLiga,27,"Tue, 09/04/1968",CF Barcelona,Real Madrid,,1:1,Draw,1,1,2,0.0,1968-04-09,1968
LaLiga,12,"Sun, 10/12/1967",Real Madrid,CF Barcelona,,1:1,Draw,1,1,2,0.0,1967-12-10,1967
