Competition,Matchday,Date,Home Team,Away Team,Attendance,Result,Winner,FCB_Goals,RMA_Goals,Total_Goals,Attendance_Clean,Formatted_Date,Year
LaLiga,10,"Sun, 11/11/1951",Real Madrid,CF Barcelona,,5:1,Real Madrid,1,5,6,0.0,1951-11-11,1951
LaLiga,18,"Sun, 14/01/1951",Real Madrid,CF Barcelona,,4:1,Real Madrid,1,4,5,0.0,1951-01-14,1951
LaLiga,3,"Sun, 24/09/1950",CF Barcelona,Real Madrid,,7:2,FC Barcelona,7,2,9,0.0,1950-09-24,1950
LaLiga,16,"Sun, 15/01/1950",CF Barcelona,Real Madrid,100.0,2:3,Real Madrid,2,3,5,1000.0,1950-01-15,1950
LaLiga,3,"Sun, 18/09/1949",Real Madrid,CF Barcelona,,6:1,Real Madrid,1,6,7,0.0,1949-09-18,1949
LaLiga,15,"Sun, 09/01/1949",CF Barcelona,Real Madrid,,3:1,FC Barcelona,3,1,4,0.0,1949-01-09,1949
LaLiga,2,"Sun, 19/09/1948",Real Madrid,CF Barcelona,,1:2,FC Barcelona,2,1,3,0.0,1948-09-19,1948
LaLiga,17,"Sun, 25/01/1948",CF Barcelona,Real Madrid,,4:2,FC Barcelona,4,2,6,0.0,1948-01-25,1948
LaLiga,4,"Sun, 12/10/1947",Real Madrid,CF Barcelona,,1:1,Draw,1,1,2,0.0,1947-10-12,1947
LaLiga,24,"Sun, 30/03/1947",CF Barcelona,Real Madrid,,3:2,FC Barcelona,3,2,5,0.0,1947-03-30,1947
LaLiga,11,"Sun, 01/12/1946",Real Madrid,CF Barcelona,,2:1,Real Madrid,1,2,3,0.0,1946-12-01,1946
LaLiga,22,"Sun, 03/03/1946",CF Barcelona,Real Madrid,,1:0,FC Barcelona,1,0,1,0.0,1946-03-03,1946
LaLiga,9,"Sun, 25/11/1945",Real Madrid,CF Barcelona,,3:2,Real Madrid,2,3,5,0.0,1945-11-25,1945
LaLiga,21,"Sun, 25/03/1945",CF Barcelona,Real Madrid,,5:0,FC Barcelona,5,0,5,0.0,1945-03-25,1945
LaLiga,8,"Sun, 12/11/1944",Real Madrid,CF Barcelona,,1:0,Real Madrid,0,1,1,0.0,1944-11-12,1944
LaLiga,26,"Sun, 09/04/1944",CF Barcelona,Real Madrid,,1:2,Real Madrid,1,2,3,0.0,1944-04-09,1944
LaLiga,13,"Sun, 02/01/1944",Real Madrid,CF Barcelona,,0:1,FC Barcelona,1,0,1,0.0,1944-01-02,1944
Copa del Rey,Semi-Finals,"Sun, 13/06/1943",Real Madrid,CF Barcelona,,11:1,Real Madrid,1,11,12,0.0,1943-06-13,1943
Copa del Rey,Semi-Finals,"Sun, 06/06/1943",CF Barcelona,Real Madrid,,3:0,FC Barcelona,3,0,3,0.0,1943-06-06,1943
LaLiga,14,"Sun, 10/01/1943",CF Barcelona,Real Madrid,,5:5,Draw,5,5,10,0.0,1943-01-10,1943
LaLiga,1,"Sun, 27/09/1942",Real Madrid,CF Barcelona,,3:0,Real Madrid,0,3,3,0.0,1942-09-27,1942
LaLiga,17,"Sun, 25/01/1942",CF Barcelona,Real Madrid,,0:2,Real Madrid,0,2,2,0.0,1942-01-25,1942
LaLiga,4,"Sun, 19/10/1941",Real Madrid,CF Barcelona,,4:3,Real Madrid,3,4,7,0.0,1941-10-19,1941
